SecurityCode,companyName,Feb16
500325,RELIANCE INDUSTRIES LTD.,1993272.82
532540,TATA CONSULTANCY SERVICES LTD.,1483994.78
500180,HDFC Bank Ltd,1076400.1
532174,ICICI BANK LTD.,732358.5
500209,INFOSYS LTD.,705348.7
500112,STATE BANK OF INDIA,677467.29
543526,Life Insurance Corporation of India,665484.63
532454,BHARTI AIRTEL LTD.,642921.26
500696,HINDUSTAN UNILEVER LTD.,560976.66
500875,ITC LTD.,510645.39
500510,LARSEN & TOUBRO LTD.,459119.43
532281,HCL TECHNOLOGIES LTD.,454525.34
500034,Bajaj Finance Limited,414977.78
512599,ADANI ENTERPRISES LTD.,371435.17
524715,SUN PHARMACEUTICAL INDUSTRIES LTD.,367053.65
532500,MARUTI SUZUKI INDIA LTD.,361052.06
500312,Oil and Natural Gas Corporation Ltd,345580.27
500247,KOTAK MAHINDRA BANK LTD.,344204.01
532555,NTPC LTD.,328571.53
532215,AXIS BANK LTD.,328144.71
500114,Titan Company Limited,327886.06
500570,TATA MOTORS LTD.,309909.83
541450,Adani Green Energy Ltd,309456.58
500820,ASIAN PAINTS LTD.,287543.52
532538,ULTRATECH CEMENT LTD.,285810.9
533278,COAL INDIA LTD.,284286.66
532921,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,282351.76
507685,WIPRO LTD.,279664.94
530965,INDIAN OIL CORPORATION LTD.,266185.34
532978,BAJAJ FINSERV LTD.,258493.12
532898,POWER GRID CORPORATION OF INDIA LTD.,257115.19
500790,NESTLE INDIA LTD.,242389.11
540376,Avenue Supermarts Ltd,241119.38
532977,BAJAJ AUTO LTD.,241000.13
500520,MAHINDRA & MAHINDRA LTD.,229909.83
533096,ADANI POWER LTD.,219016.28
532868,DLF LTD.,210079.7
543257,Indian Railway Finance Corporation Ltd,207397.19
541154,Hindustan Aeronautics Ltd,202113.84
500228,JSW STEEL LTD.,200551.68
540180,Varun Beverages Ltd,186917.99
500470,TATA STEEL LTD.,175725.29
543940,Jio Financial Services Ltd,174016.45
540005,LTIMindtree Ltd,163295.6
500550,SIEMENS LTD.,157326.81
540719,SBI Life Insurance Company Ltd,149089.67
500300,GRASIM INDUSTRIES LTD.,147611.53
500251,TRENT LTD.,143846.22
532810,POWER FINANCE CORPORATION LTD.,142250.89
500547,BHARAT PETROLEUM CORPORATION LTD.,141489.51
532461,PUNJAB NATIONAL BANK,141436.49
532134,BANK OF BARODA,140014.63
543320,Zomato Ltd,138867.5
500049,BHARAT ELECTRONICS LTD.,137898.98
500331,PIDILITE INDUSTRIES LTD.,137850.93
532388,INDIAN OVERSEAS BANK,132921.76
500188,HINDUSTAN ZINC LTD.,131449.67
532755,TECH MAHINDRA LTD.,127829.99
540777,HDFC Life Insurance Company Ltd,125856.48
532424,GODREJ CONSUMER PRODUCTS LTD.,125796.67
532955,REC Ltd,123248.05
500400,TATA POWER CO.LTD.,121582.67
532155,GAIL (INDIA) LTD.,120883.21
539254,Adani Energy Solutions Ltd,119815.07
500087,CIPLA LTD.,118718.18
500825,BRITANNIA INDUSTRIES LTD.,118605.96
539448,InterGlobe Aviation Ltd,118438.89
500425,AMBUJA CEMENTS LTD.,116120.53
532187,INDUSIND BANK LTD.,115388.63
500440,HINDALCO INDUSTRIES LTD.,115169.85
542066,Adani Total Gas Ltd,111245.79
500800,Tata Consumer Products Ltd,109919.02
500124,DR.REDDY'S LABORATORIES LTD.,107010.73
505200,EICHER MOTORS LTD.,106799.26
543287,Macrotech Developers Ltd,105497.91
532477,UNION BANK OF INDIA,104663.77
532483,CANARA BANK,103759.18
532343,TVS MOTOR COMPANY LTD.,100680.46
500295,Vedanta Limited,100420.07
532488,DIVI'S LABORATORIES LTD.,98841.92
500490,BAJAJ HOLDINGS & INVESTMENT LTD.,98799.14
500116,IDBI BANK LTD.,98158.68
533098,NHPC LTD.,97446.88
500096,DABUR INDIA LTD.,97072.18
500182,HERO MOTOCORP LTD.,97032.02
500387,SHREE CEMENT LTD.,96788.41
508869,APOLLO HOSPITALS ENTERPRISE LTD.,95706.66
500002,ABB India Limited,95180.77
511243,Cholamandalam Investment and Finance Company Ltd,95104.45
532321,Zydus Lifesciences Ltd,91887.89
511218,Shriram Finance Ltd,91640.39
543904,Mankind Pharma Ltd,88956.67
500420,TORRENT PHARMACEUTICALS LTD.,88494.43
517354,HAVELLS INDIA LTD.,88312.17
500530,BOSCH LTD.,85550.28
532432,UNITED SPIRITS LTD.,84147.22
533148,JSW Energy Ltd,82102.21
543220,Max Healthcare Institute Ltd,82019.99
540716,ICICI Lombard General Insurance Company Ltd,80818.3
541729,HDFC Asset Management Company Ltd,79701.05
500104,HINDUSTAN PETROLEUM CORPORATION LTD.,78672.69
500103,BHARAT HEAVY ELECTRICALS LTD.,78607.58
532648,YES BANK LTD.,77948.63
532822,Vodafone Idea Ltd,77887.71
532286,JINDAL STEEL & POWER LTD.,77378.78
500850,INDIAN HOTELS CO.LTD.,77235.43
517334,Samvardhana Motherson International Ltd,76639.78
542830,Indian Railway Catering and Tourism Corporation Ltd,75740
540755,General Insurance Corporation of India,74351.47
540133,ICICI Prudential Life Insurance Company Ltd,74121.24
500480,CUMMINS INDIA LTD.,73757.38
532814,INDIAN BANK,73119.94
532505,UCO BANK,72560.71
500257,LUPIN LTD.,72311.15
526371,NMDC LTD.,72180.82
540762,Tube Investments of India Ltd,71926.57
542652,Polycab India Ltd,71640.39
500830,COLGATE-PALMOLIVE (INDIA) LTD.,69904.39
503806,SRF LTD.,69542.75
543066,SBI Cards and Payment Services Ltd,69264.2
532777,INFO EDGE (INDIA) LTD.,69011.55
531642,MARICO LTD.,68121.86
532466,ORACLE FINANCIAL SERVICES SOFTWARE LTD.,67715.74
533179,PERSISTENT SYSTEMS LTD.,67195.14
500093,CG Power and Industrial Solutions Ltd,66681.94
539523,Alkem Laboratories Ltd,65429.55
532149,BANK OF INDIA,65012.1
509480,BERGER PAINTS INDIA LTD.,64943.59
533106,OIL INDIA LTD.,64489.58
533150,Godrej Properties Ltd,63402.77
500290,MRF LTD.,63158.19
500488,ABBOTT INDIA LTD.,62764.59
532667,SUZLON ENERGY LTD.,62716.35
