SecurityCode,companyName,currentValue,change,pChange,updatedOn,securityID,group,faceValue,industry,previousClose,previousOpen,dayHigh,dayLow,52weekHigh,52weekLow,weightedAvgPrice,totalTradedValue,totalTradedQuantity,2WeekAvgQuantity,marketCapFull,marketCapFreeFloat
500325,RELIANCE INDUSTRIES LTD.,2941.9,-20.7,-0.7,15 Feb 24 | 04:01 PM,RELIANCE,A  / S&P BSE SENSEX,10,"Oil, Gas & Consumable Fuels",2962.6,2963.4,2968.4,2932.9,2968.4,2012.14,2946.12,24.12 Cr.,0.82 Lakh,2.81 Lakh,1990397.28,"9,95,198.64 Cr."
532540,TATA CONSULTANCY SERVICES LTD.,4102,1,0.02,15 Feb 24 | 04:01 PM,TCS,A  / S&P BSE SENSEX,1,Information Technology,4101,4122.3,4145,4081.7,4184.55,3070.3,4105.8,16.13 Cr.,0.39 Lakh,1.80 Lakh,1484139.5,"4,15,559.06 Cr."
500180,HDFC Bank Ltd,1413.75,29.75,2.15,15 Feb 24 | 04:01 PM,HDFCBANK,A  / S&P BSE SENSEX,1,Financial Services,1384,1387.8,1415.25,1384.5,1757.8,1382.4,1402.53,68.59 Cr.,4.89 Lakh,8.78 Lakh,1073822.03,"10,63,083.81 Cr."
532174,ICICI BANK LTD.,1018.7,-3.05,-0.3,15 Feb 24 | 04:01 PM,ICICIBANK,A  / S&P BSE SENSEX,2,Financial Services,1021.75,1023,1024.65,1006.75,1067.4,810.5,1015.07,22.82 Cr.,2.25 Lakh,5.68 Lakh,714905.98,"7,14,905.98 Cr."
500209,INFOSYS LTD.,1678.2,12.2,0.73,15 Feb 24 | 04:01 PM,INFY,A  / S&P BSE SENSEX,5,Information Technology,1666,1673.9,1686.75,1662,1731,1215.45,1673.63,39.60 Cr.,2.37 Lakh,2.36 Lakh,696528.99,"5,99,014.93 Cr."
500112,STATE BANK OF INDIA,761.6,18.25,2.46,15 Feb 24 | 04:01 PM,SBIN,A  / S&P BSE SENSEX,1,Financial Services,743.35,746.7,763.9,741.7,763.9,501.85,753.99,59.24 Cr.,7.86 Lakh,18.59 Lakh,679698.44,"2,92,270.33 Cr."
543526,Life Insurance Corporation of India,1055.4,-14.6,-1.36,15 Feb 24 | 04:00 PM,LICI,A  / S&P BSE 200,10,Financial Services,1070,1083.95,1086.1,1046.3,1175,530.2,1069.95,24.16 Cr.,2.26 Lakh,6.87 Lakh,667540.26,"26,701.61 Cr."
532454,BHARTI AIRTEL LTD.,1121.55,5.85,0.52,15 Feb 24 | 04:01 PM,BHARTIARTL,A  / S&P BSE SENSEX,5,Telecommunication,1115.7,1121.3,1131.1,1110,1200.95,736.2,1121.2,2.57 Cr.,0.23 Lakh,1.98 Lakh,631297.8,"2,84,084.01 Cr."
500696,HINDUSTAN UNILEVER LTD.,2351.1,-37.85,-1.58,15 Feb 24 | 04:01 PM,HINDUNILVR,A  / S&P BSE SENSEX,1,Fast Moving Consumer Goods,2388.95,2368,2382.55,2347,2768.5,2347,2361.31,24.09 Cr.,1.02 Lakh,1.08 Lakh,552412.4,"2,09,916.71 Cr."
500875,ITC LTD.,404,-7.6,-1.85,15 Feb 24 | 04:01 PM,ITC,A  / S&P BSE SENSEX,1,Fast Moving Consumer Goods,411.6,413.55,413.6,403.15,499.6,369.7,407.01,44.38 Cr.,10.91 Lakh,11.70 Lakh,504156.25,"3,57,950.93 Cr."
