,scripCode,companyName,currentValue,change,pChange,updatedOn,securityID,group,faceValue,industry,previousClose,previousOpen,dayHigh,dayLow,52weekHigh,52weekLow,weightedAvgPrice,totalTradedValue,totalTradedQuantity,2WeekAvgQuantity,marketCapFull,marketCapFreeFloat
0,500325,RELIANCE INDUSTRIES LTD.,2940.75,-5.40,-0.18,20 Feb 24 | 04:00 PM,RELIANCE,A  / S&P BSE SENSEX,10.00,"Oil, Gas & Consumable Fuels",2946.15,2949.90,2949.90,2924.00,2968.40,2012.14,2935.86,30.66 Cr.,1.04 Lakh,2.72 Lakh,"19,89,619.35 Cr.","9,94,809.68 Cr."
1,532540,TATA CONSULTANCY SERVICES LTD.,4029.95,-71.65,-1.75,20 Feb 24 | 04:00 PM,TCS,A  / S&P BSE SENSEX,1.00,Information Technology,4101.60,4089.90,4098.85,4011.10,4184.55,3070.30,4048.02,12.26 Cr.,0.30 Lakh,0.87 Lakh,"14,58,071.18 Cr.","4,08,259.93 Cr."
2,500180,HDFC Bank Ltd,1453.75,36.65,2.59,20 Feb 24 | 04:00 PM,HDFCBANK,A  / S&P BSE SENSEX,1.00,Financial Services,1417.10,1417.40,1457.00,1412.25,1757.80,1363.45,1440.72,180.25 Cr.,12.51 Lakh,8.53 Lakh,"11,04,238.69 Cr.","10,93,196.30 Cr."
3,532174,ICICI BANK LTD.,1048.80,5.25,0.50,20 Feb 24 | 04:00 PM,ICICIBANK,A  / S&P BSE SENSEX,2.00,Financial Services,1043.55,1044.50,1052.25,1033.20,1067.40,810.50,1046.74,15.21 Cr.,1.45 Lakh,4.13 Lakh,"7,36,072.57 Cr.","7,36,072.57 Cr."
4,500209,INFOSYS LTD.,1684.15,-15.30,-0.90,20 Feb 24 | 04:00 PM,INFY,A  / S&P BSE SENSEX,5.00,Information Technology,1699.45,1688.05,1693.45,1668.70,1731.00,1215.45,1679.66,19.21 Cr.,1.14 Lakh,2.26 Lakh,"6,98,998.51 Cr.","6,01,138.71 Cr."
5,500112,STATE BANK OF INDIA,760.10,1.00,0.13,20 Feb 24 | 04:00 PM,SBIN,A  / S&P BSE SENSEX,1.00,Financial Services,759.10,759.00,763.30,753.90,774.70,501.85,759.42,19.83 Cr.,2.61 Lakh,14.82 Lakh,"6,78,359.75 Cr.","2,91,694.69 Cr."
6,543526,Life Insurance Corporation of India,1040.95,-11.20,-1.06,20 Feb 24 | 04:00 PM,LICI,A  / S&P BSE 200,10.00,Financial Services,1052.15,1055.15,1056.45,1036.00,1175.00,530.20,1042.41,13.48 Cr.,1.29 Lakh,5.95 Lakh,"6,58,400.64 Cr.","26,336.03 Cr."
7,532454,BHARTI AIRTEL LTD.,1144.15,1.95,0.17,20 Feb 24 | 04:00 PM,BHARTIARTL,A  / S&P BSE SENSEX,5.00,Telecommunication,1142.20,1143.05,1151.25,1135.35,1200.95,736.20,1144.83,23.06 Cr.,2.01 Lakh,2.28 Lakh,"6,44,018.88 Cr.","2,96,248.68 Cr."
8,500696,HINDUSTAN UNILEVER LTD.,2402.80,15.25,0.64,20 Feb 24 | 04:00 PM,HINDUNILVR,A  / S&P BSE SENSEX,1.00,Fast Moving Consumer Goods,2387.55,2374.85,2408.00,2367.90,2768.50,2347.00,2383.88,20.40 Cr.,0.86 Lakh,0.94 Lakh,"5,64,559.79 Cr.","2,14,532.72 Cr."
9,500875,ITC LTD.,406.05,-3.15,-0.77,20 Feb 24 | 04:00 PM,ITC,A  / S&P BSE SENSEX,1.00,Fast Moving Consumer Goods,409.20,411.00,411.00,404.30,499.60,369.70,406.73,27.86 Cr.,6.85 Lakh,13.04 Lakh,"5,06,714.46 Cr.","3,59,767.27 Cr."
