SecurityCode,companyName,DATA1,DATA2,DATA3
500325,RELIANCE INDUSTRIES LTD.,"19,89,044.27 Cr.","19,89,213.41 Cr.","19,91,141.63 Cr."
532540,TATA CONSULTANCY SERVICES LTD.,"14,59,536.50 Cr.","14,57,727.46 Cr.","14,58,071.18 Cr."
500180,HDFC Bank Ltd,"10,98,959.61 Cr.","11,01,390.26 Cr.","11,04,238.69 Cr."
532174,ICICI BANK LTD.,"7,33,581.10 Cr.","7,34,528.56 Cr.","7,36,072.57 Cr."
500209,INFOSYS LTD.,"6,96,134.69 Cr.","6,96,674.25 Cr.","6,98,998.51 Cr."
500112,STATE BANK OF INDIA,"6,77,154.93 Cr.","6,79,876.94 Cr.","6,78,359.75 Cr."
543526,Life Insurance Corporation of India,"6,57,546.76 Cr.","6,63,492.26 Cr.","6,58,400.64 Cr."
532454,BHARTI AIRTEL LTD.,"6,44,215.89 Cr.","6,42,808.69 Cr.","6,44,018.88 Cr."
500696,HINDUSTAN UNILEVER LTD.,"5,60,354.02 Cr.","5,61,646.30 Cr.","5,64,559.79 Cr."
500875,ITC LTD.,"5,06,090.51 Cr.","5,06,090.51 Cr.","5,07,213.63 Cr."
500510,LARSEN & TOUBRO LTD.,"4,58,988.84 Cr.","4,59,133.18 Cr.","4,60,982.06 Cr."
532281,HCL TECHNOLOGIES LTD.,"4,49,762.85 Cr.","4,49,830.69 Cr.","4,50,604.09 Cr."
500034,Bajaj Finance Limited,"4,17,845.40 Cr.","4,17,474.59 Cr.","4,18,318.19 Cr."
512599,ADANI ENTERPRISES LTD.,"3,66,504.66 Cr.","3,67,462.26 Cr.","3,68,066.46 Cr."
524715,SUN PHARMACEUTICAL INDUSTRIES LTD.,"3,67,293.58 Cr.","3,67,893.40 Cr.","3,68,397.25 Cr."
532500,MARUTI SUZUKI INDIA LTD.,"3,59,465.89 Cr.","3,59,377.86 Cr.","3,59,866.76 Cr."
500312,Oil and Natural Gas Corporation Ltd,"3,48,096.33 Cr.","3,47,404.41 Cr.","3,48,033.42 Cr."
500247,KOTAK MAHINDRA BANK LTD.,"3,49,750.24 Cr.","3,49,382.48 Cr.","3,50,485.76 Cr."
