SecurityCode,companyName
500325,RELIANCE INDUSTRIES LTD.
532540,TATA CONSULTANCY SERVICES LTD.
500180,HDFC Bank Ltd
532174,ICICI BANK LTD.
500209,INFOSYS LTD.
500112,STATE BANK OF INDIA
543526,Life Insurance Corporation of India
532454,BHARTI AIRTEL LTD.
500696,HINDUSTAN UNILEVER LTD.
500875,ITC LTD.
500510,LARSEN & TOUBRO LTD.
532281,HCL TECHNOLOGIES LTD.
500034,Bajaj Finance Limited
512599,ADANI ENTERPRISES LTD.
524715,SUN PHARMACEUTICAL INDUSTRIES LTD.
500312,Oil and Natural Gas Corporation Ltd
532500,MARUTI SUZUKI INDIA LTD.
500247,KOTAK MAHINDRA BANK LTD.
532215,AXIS BANK LTD.
532555,NTPC LTD.
500114,Titan Company Limited
500570,TATA MOTORS LTD.
541450,Adani Green Energy Ltd
533278,COAL INDIA LTD.
500820,ASIAN PAINTS LTD.
532538,ULTRATECH CEMENT LTD.
532921,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.
507685,WIPRO LTD.
530965,INDIAN OIL CORPORATION LTD.
532898,POWER GRID CORPORATION OF INDIA LTD.
532978,BAJAJ FINSERV LTD.
540376,Avenue Supermarts Ltd
500790,NESTLE INDIA LTD.
532977,BAJAJ AUTO LTD.
500520,MAHINDRA & MAHINDRA LTD.
533096,ADANI POWER LTD.
532868,DLF LTD.
543257,Indian Railway Finance Corporation Ltd
541154,Hindustan Aeronautics Ltd
500228,JSW STEEL LTD.
540180,Varun Beverages Ltd
500470,TATA STEEL LTD.
543940,Jio Financial Services Ltd
540005,LTIMindtree Ltd
500550,SIEMENS LTD.
540719,SBI Life Insurance Company Ltd
532810,POWER FINANCE CORPORATION LTD.
532134,BANK OF BARODA
532461,PUNJAB NATIONAL BANK
500300,GRASIM INDUSTRIES LTD.
500547,BHARAT PETROLEUM CORPORATION LTD.
500251,TRENT LTD.
543320,Zomato Ltd
500049,BHARAT ELECTRONICS LTD.
500331,PIDILITE INDUSTRIES LTD.
500188,HINDUSTAN ZINC LTD.
532388,INDIAN OVERSEAS BANK
532955,REC Ltd
532755,TECH MAHINDRA LTD.
540777,HDFC Life Insurance Company Ltd
532424,GODREJ CONSUMER PRODUCTS LTD.
532155,GAIL (INDIA) LTD.
500400,TATA POWER CO.LTD.
500825,BRITANNIA INDUSTRIES LTD.
539254,Adani Energy Solutions Ltd
