SecurityCode,companyName,marketCapFull
501144,PEOPLES INVESTMENTS LTD.,0.55
511185,Rajvi Logitrade Ltd,0.81
512153,M Lakhamsi Industries Ltd,1.29
504375,SOFTBPO GLOBAL SERVICES LTD.,1.34
526443,DATASOFT APPLICATION SOFTWARE (INDIA) LTD.,1.45
530037,SREE JAYALAKSHMI AUTOSPIN LTD.,1.63
519367,TRANSGLOBE FOODS LTD.,2.04
538674,City Online Services Ltd,2.11
540829,Chandrima Mercantiles Ltd,2.13
519279,MADHUR INDUSTRIES LTD.,2.25
519353,BANSISONS TEA INDUSTRIES LTD.,2.28
542377,Aar Shyam India Investment Company Ltd,2.33
540515,Kanungo Financiers Ltd,2.34
522027,EMA INDIA LTD.,2.35
538542,Gold Coin Health Foods Ltd,2.39
543366,SBL Infratech Ltd,2.39
531716,Tricom Fruit Products Limited,2.47
534563,MAX ALERT SYSTEMS LTD.,2.54
531327,CHARMS INDUSTRIES LTD.,2.58
538765,JLA Infraville Shoppers Ltd,2.59
526905,Padmanabh Industries Limited,2.61
531432,SYSTEMATIX SECURITIES LTD.,2.66
530929,EURO ASIA EXPORTS LTD.,2.82
511585,REGENCY TRUST LTD.,2.85
530609,CARNATION INDUSTRIES LTD.,2.9
539593,Shivansh Finserve Ltd,2.92
539495,Rajkot Investment Trust Ltd,3.04
526001,JAUSS POLYMERS LTD.,3.06
539408,Kuber Udyog Ltd,3.08
520121,ARCEE INDUSTRIES LTD.,3.08
539544,Abhishek Infraventures Ltd,3.18
506906,Saptak Chem And Business Ltd,3.28
511451,DHARANI FINANCE LTD.,3.37
540134,Ishaan Infrastructures and Shelters Ltd,3.39
539673,Radhagobind Commercial Ltd,3.43
504397,GANESH HOLDINGS LTD.,3.48
532359,HIT KIT GLOBAL SOLUTIONS LTD.,3.55
513687,SPECTRA INDUSTRIES LTD.,3.55
530733,Encode Packaging India Ltd,3.56
531319,MARUTI SECURITIES LTD.,3.57
530469,GSL SECURITIES LTD.,3.57
513397,VALLABH STEELS LTD.-$,3.59
530581,EKAM LEASING & FINANCE CO.LTD.,3.61
531834,NATURA HUE CHEM LTD.,3.66
531529,SOFTRAK VENTURE INVESTMENT LTD.,3.68
531219,SHYAMA INFOSYS LTD.,3.7
536456,R J Bio-Tech Ltd,3.7
542155,Diksha Greens Ltd,3.73
539724,Hypersoft Technologies Ltd,3.83
500248,Krishna Filament Industries Ltd,3.85
506975,RAJASTHAN PETRO SYNTHETICS LTD.,3.87
517044,INTERNATIONAL DATA MANAGEMENT LTD.,3.94
517431,NARMADA MACPLAST DRIP IRRIGATION SYSTEMS LTD.,3.96
531913,GOPAL IRON & STEELS CO.(GUJARAT) LTD.,3.96
513721,MFS INTERCORP LTD.,4.0
530187,ATHARV ENTERPRISES LTD.,4.0
538794,Jet Infraventure Ltd,4.02
521137,EUREKA INDUSTRIES LTD.,4.04
530443,KIRAN SYNTEX LTD.,4.08
532444,T.SPIRITUAL WORLD LTD.,4.1
513515,S.R.INDUSTRIES LTD.,4.17
526439,AMBITIOUS PLASTOMAC COMPANY LTD.,4.2
540703,Pro Clb Global Ltd,4.21
531272,NIKKI GLOBAL FINANCE LTD.,4.22
532015,GRAVITY (INDIA) LTD.-$,4.23
540243,New Light Apparels Ltd,4.23
523874,PRECISION CONTAINEURS LTD.,4.27
526839,SHELTER INFRA PROJECTS LTD.-$,4.28
506122,Pankaj Piyush Trade & Investment Ltd,4.3
531460,CONTINENTAL CONTROLS LTD.,4.3
526115,KARAN WOO-SIN LTD.,4.32
511664,BGIL FILMS & TECHNOLOGIES LTD.,4.32
501311,JAYABHARAT CREDIT LTD.-$,4.4
521003,SHIVA SUITINGS LTD.,4.42
503675,Wagend Infra Venture Limited,4.48
531280,PANKAJ POLYMERS LTD.,4.49
523425,SUNRAJ DIAMOND EXPORTS LTD.,4.5
507917,EAST BUILDTECH LTD.,4.51
531758,G.K.CONSULTANTS LTD.,4.53
530547,KEN FINANCIAL SERVICES LTD.,4.54
539032,Fraser and Company Ltd,4.55
540159,Purple Entertainment Ltd,4.58
532645,BEEYU OVERSEAS LTD.,4.58
532397,Konndor Industries Ltd,4.61
530207,BRAWN BIOTECH LTD.,4.62
531259,Esha Media Research Limited,4.66
541337,Milestone Furniture Ltd,4.68
538881,Galada Finance Ltd,4.68
530755,CORAL NEWSPRINTS LTD.,4.7
526251,MID EAST PORTFOLIO MANAGEMENT LTD.,4.73
531433,SUNGOLD CAPITAL LTD.,4.73
524642,Sikozy Realtors Limited,4.73
507609,OLYMPIC OIL INDUSTRIES LTD.,4.76
539405,Decorous Investment & Trading Co Ltd,4.79
524516,BACIL PHARMA LTD.,4.8
539288,AVI Polymers Ltd,4.85
526877,SIDDHESWARI GARMENTS LTD.,4.87
526959,WOODSVILLA LTD.,4.88
531334,VIKALP SECURITIES LTD.,4.88
539383,Mahaveer Infoway Ltd,4.91
531929,INNOCORP LTD.,4.92
523113,FUTURISTIC SECURITIES LTD.,4.93
513452,ELANGO INDUSTRIES LTD.,4.96
519174,ASHIANA AGRO INDUSTRIES LTD.,4.98
507938,MANIPAL FINANCE CORPORATION LTD.,5.03
524580,PRIYA LTD.-$,5.03
504356,MULTIPURPOSE TRADING & AGENCIES LTD.,5.04
531396,WOMEN NETWORKS LTD.,5.07
537392,Taaza International Ltd,5.08
530595,TELECANOR GLOBAL LTD.,5.09
521238,KKRRAFTON Developers Ltd,5.1
503659,SW Investments Ltd,5.1
538540,Ramchandra Leasing & Finance Ltd,5.12
543804,Amanaya Ventures Ltd,5.14
530179,RSC INTERNATIONAL LTD.,5.15
526891,MARKET CREATORS LTD.,5.18
532340,OMNI AXS SOFTWARE LTD.,5.2
526795,MAHASAGAR TRAVELS LTD.,5.22
531027,LIBORD SECURITIES LTD.,5.23
590109,Nippon India ETF Nifty 50 Shariah BeES,5.26
530161,GARODIA CHEMICALS LTD.,5.27
530795,SUNCITY SYNTHETICS LTD.,5.29
532350,PADMALAYA TELEFILMS LTD.,5.34
531681,Amerise Biosciences Ltd,5.35
531240,SHAMROCK INDUSTRIAL CO.LTD.,5.37
506543,M.P.AGRO INDUSTRIES LTD.,5.44
511688,MATHEW EASOW RESEARCH SECURITIES LTD.,5.49
531099,Checkpoint Trends Ltd,5.49
543613,Mafia Trends Ltd,5.54
539835,Superior Finlease Ltd,5.55
531051,VINTAGE SECURITIES LTD.,5.57
533019,SIMPLEX PAPERS LTD.,5.59
543377,Adishakti Loha and Ispat Ltd,5.65
539096,Aananda Lakshmi Spinning Mills Ltd,5.66
526494,Promact Impex Ltd,5.68
509038,VOLTAIRE LEASING & FINANCE LTD.,5.69
538857,Scintilla Commercial & Credit Ltd,5.71
519064,KHANDELWAL EXTRACTION LTD.,5.72
524622,iStreet Network Limited,5.75
539767,Mega Nirman and Industries Ltd,5.75
532113,BRIJLAXMI LEASING & FINANCE LTD.,5.75
540386,Ontic Finserve Ltd,5.76
539175,Indra Industries Ltd,5.82
531235,CITIPORT FINANCIAL SERVICES LTD.,5.89
590110,Quantum Nifty 50 ETF,5.89
531812,SGN TELECOMS LTD.,5.9
530839,CLIO INFOTECH LTD.,5.93
530705,FLORA TEXTILES LTD.,5.94
512604,HARIA EXPORTS LTD.-$,5.99
519014,PRASHANT INDIA LTD.,5.99
521188,UNITED TEXTILES LTD.,6.0
538897,Shri Niwas Leasing And Finance Ltd,6.0
531221,MAYUR FLOORINGS LTD.,6.03
530027,AADI INDUSTRIES LTD.,6.03
514386,GUJARAT COTEX LTD.,6.04
511507,USHAKIRAN FINANCE LTD.,6.11
540259,Shangar Decor Ltd,6.12
526967,HEERA ISPAT LTD.,6.12
526865,JAINCO PROJECTS (INDIA) LTD.,6.12
513513,ADITYA ISPAT LTD.,6.13
541890,Space Incubatrics Technologies Ltd,6.16
526525,Worldwide Aluminium Ltd,6.24
513403,P.M.TELELINNKS LTD.,6.25
543924,Sonalis Consumer Products Ltd,6.3
534422,Looks Health Services Limited,6.3
509563,GARWARE MARINE INDUSTRIES LTD.,6.31
530281,QUANTUM DIGITAL VISION (INDIA) LTD.,6.33
530571,EXPLICIT FINANCE LTD.,6.33
530249,BRIDGE SECURITIES LTD.,6.35
519606,INTEGRATED PROTEINS LTD.,6.35
505515,SHYAMKAMAL INVESTMENTS LTD.,6.36
526751,GRATEX INDUSTRIES LTD.,6.37
530291,Paos Industries Ltd,6.39
535647,SDC Techmedia Ltd,6.43
524031,Patidar Buildcon Limited,6.44
542176,Aryan Share and Stock Brokers Ltd,6.49
511712,RELIC TECHNOLOGIES LTD.,6.5
531436,Saffron Industries Limited,6.5
524661,WELCURE DRUGS & PHARMACEUTICALS LTD.,6.5
523519,UNIVERSAL OFFICE AUTOMATION LTD.,6.52
513460,MAHALAXMI SEAMLESS LTD.-$,6.55
524723,BIJOY HANS LTD.,6.59
523722,SVAM SOFTWARE LTD.,6.59
531499,SYBLY INDUSTRIES LTD.-$,6.6
526225,BLOOM DEKOR LTD.-$,6.62
538667,Sirohia & Sons Ltd,6.62
531867,UNITECH INTERNATIONAL LTD.,6.7
531413,KIRAN PRINT-PACK LTD.,6.75
530931,STANPACKS (INDIA) LTD.,6.77
531574,VAS INFRASTRUCTURE LTD.,6.79
534755,TRIO MERCANTILE & TRADING LTD.,6.79
539946,Bazel International Ltd,6.81
523062,J.J.FINANCE CORPORATION LTD.,6.81
531283,CINDRELLA FINANCIAL SERVICES LTD.,6.81
540481,Classic Leasing & Finance Ltd,6.83
535917,GCM Commodity & Derivatives Ltd,6.83
540108,Tiaan Consumer Ltd,6.85
543319,AA Plus Tradelink Ltd,6.86
531594,INCON ENGINEERS LTD.,6.88
531397,POLYCON INTERNATIONAL LTD.,6.92
531049,NEELKANTH ROCKMINERALS LTD.,6.94
531676,VAGHANI TECHNO-BUILD LTD.,7.05
536565,Trimurthi Ltd,7.06
539384,Krishna Capital and Securities Ltd,7.07
512297,Shantai Industries Ltd,7.09
507808,UNITED LEASING & INDUSTRIES LTD.,7.1
539692,Interactive Financial Services Ltd,7.12
534190,OLYMPIC CARDS LTD.,7.18
531925,SHANTANU SHEOREY AQUAKULT LTD.,7.19
543970,Shoora Designs Ltd,7.2
543305,Navoday Enterprises Ltd,7.21
526799,UNION QUALITY PLASTICS LTD.,7.21
530141,GYAN DEVELOPERS & BUILDERS LTD.,7.26
503772,MODELLA WOOLLENS LTD.,7.26
531515,MAHAN INDUSTRIES LTD.,7.27
512279,N2N Technologies Limited,7.34
516020,AGIO PAPER & INDUSTRIES LTD.-$,7.34
531495,BLUE COAST HOTELS LTD.,7.34
539449,IGC Industries Ltd,7.35
541703,Raconteur Global Resources Ltd,7.4
532307,MELSTAR INFORMATION TECHNOLOGIES LTD.,7.43
533018,SIMPLEX MILLS COMPANY LTD.,7.44
513579,FOUNDRY FUEL PRODUCTS LTD.,7.47
523373,MINI DIAMONDS (INDIA) LTD.,7.47
515127,Ramasigns Industries Ltd,7.54
538464,Thirani Projects Ltd,7.56
531288,LEAD FINANCIAL SERVICES LTD.,7.56
539798,Umiya Tubes Ltd,7.6
539800,CHD Chemicals Ltd,7.63
531083,NIHAR INFO GLOBAL LTD.,7.65
539111,Sheshadri Industries Ltd,7.68
531661,HITTCO TOOLS LTD.,7.68
532379,First Fintec Ltd,7.69
526869,KUMBHAT FINANCIAL SERVICES LTD.,7.74
532164,MINOLTA FINANCE LTD.,7.75
533110,SHREE PRECOATED STEELS LTD.,7.77
524727,Span Divergent Ltd-$,7.79
531155,EPSOM PROPERTIES LTD.,7.82
500426,UTL Industries Limited,7.84
534639,VINAYAK POLYCON INTERNATIONAL LTD.,7.84
519604,SURYO FOODS & INDUSTRIES LTD.,7.9
530669,Ace Engitech Ltd,7.91
521062,Perfect-Octave Media Projects Ltd,7.91
538081,Haria Apparels Ltd,7.92
531314,Integra Capital  Ltd,7.94
526441,VISION CINEMAS LTD.,7.95
