scripCode,companyName,change,change,change
500325,RELIANCE INDUSTRIES LTD.,-8.15,-5.4,-2.55
532540,TATA CONSULTANCY SERVICES LTD.,-34.3,-71.65,-40.65
500180,HDFC Bank Ltd,29.85,36.65,-15.55
532174,ICICI BANK LTD.,3.85,5.25,1.25
500209,INFOSYS LTD.,-16.45,-15.3,-28.1
500112,STATE BANK OF INDIA,2.75,1,11.45
543526,Life Insurance Corporation of India,-12.35,-11.2,-1.9
532454,BHARTI AIRTEL LTD.,3.4,1.95,-4.4
500696,HINDUSTAN UNILEVER LTD.,-0.7,15.25,3.25
500875,ITC LTD.,-2.6,-3.15,-2.75
500510,LARSEN & TOUBRO LTD.,4.2,13.55,-57.15
532281,HCL TECHNOLOGIES LTD.,-20.05,-12.1,-27.2
500034,Bajaj Finance Limited,69.4,54.05,-80.8
512599,ADANI ENTERPRISES LTD.,-29.55,-29.55,-5.2
524715,SUN PHARMACEUTICAL INDUSTRIES LTD.,-9.95,8.85,4.7
532500,MARUTI SUZUKI INDIA LTD.,-64.25,-37.7,23.65
500312,Oil and Natural Gas Corporation Ltd,1.7,1.95,-3.75
500247,KOTAK MAHINDRA BANK LTD.,24.5,31.6,-17.15
532555,NTPC LTD.,6.1,6.8,-9.55
532215,AXIS BANK LTD.,15.15,24.7,-4.15
500114,Titan Company Limited,6,-10.9,-28.9
500570,TATA MOTORS LTD.,-4.1,-6.15,-5.35
541450,Adani Green Energy Ltd,-18.65,-25.7,-23.45
500820,ASIAN PAINTS LTD.,2.25,14.6,-12.4
532538,ULTRATECH CEMENT LTD.,12.6,83.45,-14.95
533278,COAL INDIA LTD.,-15.9,-14.75,-13.6
532921,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,0.25,-7.15,-8.45
507685,WIPRO LTD.,-1.7,-3.45,-10.65
530965,INDIAN OIL CORPORATION LTD.,-2.95,0.4,-6.75
532978,BAJAJ FINSERV LTD.,-8.05,-16.65,-17.05
532898,POWER GRID CORPORATION OF INDIA LTD.,11.8,11.5,-7.8
500790,NESTLE INDIA LTD.,12.4,24.75,8.5
540376,Avenue Supermarts Ltd,45.5,49.45,80.15
532977,BAJAJ AUTO LTD.,-175.3,-217.95,-63.55
500520,MAHINDRA & MAHINDRA LTD.,0,3.1,8.1
533096,ADANI POWER LTD.,-5.85,-13,-13.45
532868,DLF LTD.,10.1,15.35,22.7
543257,Indian Railway Finance Corporation Ltd,-0.35,-0.25,-4.2
541154,Hindustan Aeronautics Ltd,-16.15,-26.05,-47.5
500228,JSW STEEL LTD.,-2.65,0.5,7.8
540180,Varun Beverages Ltd,-1.15,-0.8,25.95
500470,TATA STEEL LTD.,-0.7,-0.85,2.8
543940,Jio Financial Services Ltd,10.85,7.7,8.35
540005,LTIMindtree Ltd,8.05,-11.6,-82.4
500550,SIEMENS LTD.,24.5,14.8,9.1
540719,SBI Life Insurance Company Ltd,13.95,24.4,-12.2
500300,GRASIM INDUSTRIES LTD.,35.75,23.4,-0.1
500251,TRENT LTD.,-6.45,-20.65,-132.05
532810,POWER FINANCE CORPORATION LTD.,-4.75,-5,-13.7
500547,BHARAT PETROLEUM CORPORATION LTD.,-10.7,5.6,-24.5
532461,PUNJAB NATIONAL BANK,1.5,1.05,-1.2
532134,BANK OF BARODA,1.75,2.45,2.1
543320,Zomato Ltd,2.6,3.55,-2.25
500049,BHARAT ELECTRONICS LTD.,1.15,1.95,-2
500331,PIDILITE INDUSTRIES LTD.,11.75,34.6,-18.95
532388,INDIAN OVERSEAS BANK,-0.8,-0.79,-0.99
500188,HINDUSTAN ZINC LTD.,0.35,0,-1.95
532755,TECH MAHINDRA LTD.,4.6,10.5,-22.45
540777,HDFC Life Insurance Company Ltd,0.1,3.1,-10.8
532424,GODREJ CONSUMER PRODUCTS LTD.,10.1,-1.65,7.95
532955,REC Ltd,-2.3,-0.85,-13.15
500400,TATA POWER CO.LTD.,-1.05,-1.55,-3.55
532155,GAIL (INDIA) LTD.,0.45,0.1,-3.6
539254,Adani Energy Solutions Ltd,-7.15,-4.9,-5.45
500087,CIPLA LTD.,-23.6,-18.85,-4.1
500825,BRITANNIA INDUSTRIES LTD.,-24.1,-0.45,-0.5
539448,InterGlobe Aviation Ltd,45.6,46.3,-18.45
500425,AMBUJA CEMENTS LTD.,1.95,4,-1.05
532187,INDUSIND BANK LTD.,7.05,21.55,13.25
500440,HINDALCO INDUSTRIES LTD.,-1.75,-0.7,0.1
542066,Adani Total Gas Ltd,0.4,0.95,8.1
500800,Tata Consumer Products Ltd,-1.85,0.7,5.65
500124,DR.REDDY'S LABORATORIES LTD.,-36.45,-38.65,-28.35
505200,EICHER MOTORS LTD.,-53.55,-72.25,6.15
543287,Macrotech Developers Ltd,30.3,23.75,18.65
532477,UNION BANK OF INDIA,3.05,-0.1,3.95
532483,CANARA BANK,-1.9,-3,-1.15
532343,TVS MOTOR COMPANY LTD.,1.5,0.15,-25.9
500295,Vedanta Limited,0.25,0.2,-0.45
532488,DIVI'S LABORATORIES LTD.,-21.65,-12,-62.85
500490,BAJAJ HOLDINGS & INVESTMENT LTD.,-58.65,-65.55,-11.55
500116,IDBI BANK LTD.,0.31,-0.42,-1.04
533098,NHPC LTD.,0.15,-2.2,-2.12
500096,DABUR INDIA LTD.,-1.95,0.05,-1.95
500182,HERO MOTOCORP LTD.,-181.75,-192.35,-129.05
500387,SHREE CEMENT LTD.,-218.75,-300.35,-170.95
508869,APOLLO HOSPITALS ENTERPRISE LTD.,82.6,105.85,-3.4
500002,ABB India Limited,45.4,30.5,467.2
511243,Cholamandalam Investment and Finance Company Ltd,-27.3,-32.65,-14.4
532321,Zydus Lifesciences Ltd,-9.7,-11.9,-2.4
511218,Shriram Finance Ltd,-32.15,-20.7,-63.85
543904,Mankind Pharma Ltd,-30.65,-29.1,-1.7
500420,TORRENT PHARMACEUTICALS LTD.,20.15,29.05,-42.5
517354,HAVELLS INDIA LTD.,-6.2,-14.6,18.95
500530,BOSCH LTD.,11.3,127.55,-1065.25
532432,UNITED SPIRITS LTD.,-27.75,-13.45,-2.05
533148,JSW Energy Ltd,-9.5,-9.05,-5.1
543220,Max Healthcare Institute Ltd,17.75,22.4,-15.1
540716,ICICI Lombard General Insurance Company Ltd,-9.25,8.35,-5.9
541729,HDFC Asset Management Company Ltd,86.6,41.75,-34.55
500104,HINDUSTAN PETROLEUM CORPORATION LTD.,-8.7,8.4,-20.3
500103,BHARAT HEAVY ELECTRICALS LTD.,2.4,5.25,-9
532648,YES BANK LTD.,-0.16,-0.5,-1.06
532822,Vodafone Idea Ltd,0.18,-0.06,-0.62
532286,JINDAL STEEL & POWER LTD.,3.95,1.4,11.7
500850,INDIAN HOTELS CO.LTD.,5.85,5.8,8.4
517334,Samvardhana Motherson International Ltd,-1.2,0.35,-0.35
